tic,fyear,industry,sale_$M,actual_ev_$M,M0_ev_$M,M1_ev_$M,M2_ev_$M,M3_ev_$M,M0_gap_$M,M3_gap_$M,M1_gap_$M,M2_gap_$M,M1_gap_pct,M2_gap_pct,M0_gap_pct,M3_gap_pct,M0_abs_gap_pct,M1_abs_gap_pct,M2_abs_gap_pct,M3_abs_gap_pct,gap_reduction_pct,gap_reduction_$M,M1_gap_reduction_pct,M2_gap_reduction_pct
AAPL,2022,Chips,394328.0,2287557.3349999995,1034112.1590528559,2204807.8811518447,632470.626446501,1939399.8666494263,-1253445.1759471437,-348157.4683505732,-82749.45384815475,-1655086.7085534986,-3.617371795761122,-72.35170385591664,-54.79404414347254,-15.219617144615668,54.79404414347254,3.617371795761122,72.35170385591664,15.219617144615668,39.57442699885687,905287.7075965705,51.17667234771142,-17.5576597124441
MSFT,2022,Softw,198270.0,1890622.1199999999,723177.7954536875,870136.736431725,745019.633161229,745019.633161229,-1167444.3245463124,-1145602.486838771,-1020485.3835682749,-1145602.486838771,-53.97616862582117,-60.593942846641994,-61.749215361254336,-60.593942846641994,61.749215361254336,53.97616862582117,60.593942846641994,60.593942846641994,1.1552725146123421,21841.837707541417,7.773046735433169,1.1552725146123421
AMZN,2022,Rtail,513983.0,959882.0,360610.2548863063,670533.3690832064,711175.6355337034,1046327.7144069391,-599271.7451136936,86445.7144069391,-289348.6309167936,-248706.36446629663,-30.144187610226425,-25.910097748087434,-62.43181402648384,9.005868888773735,62.43181402648384,30.144187610226425,25.910097748087434,9.005868888773735,53.42594513771011,512826.03070675454,32.28762641625742,36.52171627839641
GOOGL,2022,Softw,282836.0,1049882.27,1031627.1496188993,1188415.9012962976,832021.4485191175,1091519.9980096575,-18255.120381100685,41637.72800965747,138533.63129629754,-217860.82148088247,13.195158662532469,-20.750976343364904,-1.7387778518348238,3.9659425822723406,1.7387778518348238,13.195158662532469,20.750976343364904,3.9659425822723406,-2.227164730437517,-23382.607628556783,-11.456380810697645,-19.01219849153008
WMT,2022,Rtail,608481.0,437739.91000000003,426910.01162193017,345902.39512479363,290351.9631402184,345902.39512479363,-10829.898378069862,-91837.5148752064,-91837.5148752064,-147387.94685978163,-20.979927298656957,-33.67020997920469,-2.4740486600981533,-20.979927298656957,2.4740486600981533,20.979927298656957,33.67020997920469,20.979927298656957,-18.505878638558805,-81007.61649713654,-18.505878638558805,-31.19616131910654
JPM,2022,Banks,154792.0,61345.99780000001,525419.798804485,607845.884855554,331702.419711926,538599.8954411073,464073.801004485,477253.8976411073,546499.887055554,270356.421911926,890.8484769246901,440.7075141125604,756.4858632138589,777.970714890071,756.4858632138589,890.8484769246901,440.7075141125604,777.970714890071,-21.484851676212088,-13180.09663662233,-134.36261371083117,315.77834910129855
XOM,2022,Oil,398675.0,467497.6,641013.2523961661,482211.3201098409,946290.4344504223,554850.200180188,173515.65239616612,87352.60018018808,14713.720109840913,478792.8344504223,3.147335967038315,102.41610533410703,37.11583811257344,18.68514409061952,37.11583811257344,3.147335967038315,102.41610533410703,18.68514409061952,18.430694021953922,86163.05221597804,33.968502145535126,-65.30026722153359
GS,2022,Fin,68711.0,224652.70400000003,578195.4602368297,240178.060378582,138986.0251084218,143728.3089858694,353542.7562368297,-80924.39501413063,15525.356378581986,-85666.67889157822,6.910825510732328,-38.13293913950763,157.3730250924688,-36.02199910050075,157.3730250924688,6.910825510732328,38.13293913950763,36.02199910050075,121.35102599196804,272618.36122269905,150.46219958173646,119.24008595296117
PFE,2022,Drugs,100330.0,304078.84,722736.4559742012,506573.08031125995,323499.5806696823,462731.8666111294,418657.6159742012,158653.02661112935,202494.24031125993,19420.740669682273,66.59267718571272,6.386745184137861,137.6806146636843,52.17496443064875,137.6806146636843,66.59267718571272,6.386745184137861,52.17496443064875,85.50565023303557,260004.58936307183,71.0879374779716,131.29386947954646
TSLA,2022,Autos,81462.0,373010.52,72578.31635397105,181647.97340321852,214678.386721701,403713.9342061417,-300432.203646029,30703.414206141664,-191362.5465967815,-158332.133278299,-51.302184881215005,-42.447095936677336,-80.54255511239441,8.231246187410925,80.54255511239441,51.302184881215005,42.447095936677336,8.231246187410925,72.31130892498348,269728.78943988733,29.240370231179405,38.095459175717075
NVDA,2022,Chips,26974.0,480517.42,70738.42430233647,75772.42386741748,38018.551200391565,75772.42386741748,-409778.9956976635,-404744.9961325825,-404744.9961325825,-442498.86879960843,-84.23107660333781,-92.08799730915239,-85.27869722135434,-84.23107660333781,85.27869722135434,84.23107660333781,92.08799730915239,84.23107660333781,1.0476206180165235,5033.999565081031,1.0476206180165235,-6.80930008779805
KO,2022,Soda,43004.0,304276.08,120986.42004190531,172162.54635349277,113861.1330955789,150014.1724607071,-183289.6599580947,-154261.9075392929,-132113.53364650725,-190414.94690442111,-43.418967947302086,-62.57966347680735,-60.237945736021935,-50.69800673759597,60.237945736021935,43.418967947302086,62.57966347680735,50.69800673759597,9.539938998425967,29027.7524188018,16.81897778871985,-2.3417177407854126
JNJ,2022,Drugs,94943.0,477831.91005000006,683930.702078726,342809.91599971097,403387.82561637816,403387.82561637816,206098.79202872596,-74444.0844336219,-135021.9940502891,-74444.0844336219,-28.25721581385397,-15.57955483254187,43.13206960312883,-15.57955483254187,43.13206960312883,28.25721581385397,15.57955483254187,15.57955483254187,27.552514770586964,131654.70759510406,14.874853789274862,27.552514770586964
NFLX,2022,Fun,31615.55,142197.03535999998,86675.03355258238,166109.5253559989,39972.58760668275,133288.34738866682,-55522.001807417604,-8908.687971333158,23912.489995998912,-102224.44775331723,16.816447639333482,-71.88929607042495,-39.04582234562953,-6.2650307362449915,39.04582234562953,16.816447639333482,71.88929607042495,6.2650307362449915,32.780791609384536,46613.313836084446,22.22937470629605,-32.843473724795416
AMD,2022,Chips,23601.0,101510.23999999999,61892.843180820164,82974.80722396074,55897.45975797714,95482.9247999656,-39617.39681917983,-6027.315200034383,-18535.432776039248,-45612.78024202285,-18.259667966541354,-44.93416648608343,-39.027980644297394,-5.937642547229111,39.027980644297394,18.259667966541354,44.93416648608343,5.937642547229111,33.09033809706828,33590.08161914544,20.76831267775604,-5.906185841786034
