partition,alpha,share,n_iter
Unstratified,0.0,0.0,200
Unstratified,0.1,0.0,200
Unstratified,0.2,0.085,200
Unstratified,0.3,0.91,200
Unstratified,0.4,0.005,200
Unstratified,0.5,0.0,200
Unstratified,0.6,0.0,200
Unstratified,0.7,0.0,200
Unstratified,0.8,0.0,200
Unstratified,0.9,0.0,200
Unstratified,1.0,0.0,200
R&D-Active,0.0,0.0,200
R&D-Active,0.1,0.0,200
R&D-Active,0.2,0.245,200
R&D-Active,0.3,0.215,200
R&D-Active,0.4,0.53,200
R&D-Active,0.5,0.01,200
R&D-Active,0.6,0.0,200
R&D-Active,0.7,0.0,200
R&D-Active,0.8,0.0,200
R&D-Active,0.9,0.0,200
R&D-Active,1.0,0.0,200
R&D-Zero,0.0,0.0,200
R&D-Zero,0.1,0.0,200
R&D-Zero,0.2,0.12,200
R&D-Zero,0.3,0.87,200
R&D-Zero,0.4,0.0,200
R&D-Zero,0.5,0.01,200
R&D-Zero,0.6,0.0,200
R&D-Zero,0.7,0.0,200
R&D-Zero,0.8,0.0,200
R&D-Zero,0.9,0.0,200
R&D-Zero,1.0,0.0,200
