stratum,year,alpha_star,mdape_at_star,mdape_m1,mdape_m2,gain_vs_m1_pp,n,period
R&D-Active,2020,0.3,35.4003,37.6316,46.1398,2.2313,1054,Validation
R&D-Active,2021,0.4,33.3062,34.8857,44.5434,1.5795,1225,Validation
R&D-Active,2022,0.4,42.7284,45.2384,54.0988,2.51,1112,Validation
R&D-Active,2023,0.2,38.4235,41.8975,49.3247,3.474,1113,Test
R&D-Active,2024,0.5,40.952,42.4043,54.7195,1.4523,1181,Test
R&D-Zero,2020,0.4,45.1085,46.1492,57.0836,1.0407,1392,Validation
R&D-Zero,2021,0.3,44.9955,50.2564,54.4637,5.2609,1556,Validation
R&D-Zero,2022,0.2,42.3228,46.733,52.6666,4.4102,1605,Validation
R&D-Zero,2023,0.3,42.9048,47.1197,52.529,4.2149,1629,Test
R&D-Zero,2024,0.3,42.9443,45.9971,56.5115,3.0528,1692,Test
