n,M0,M0_CI,M1,M1_CI,M2,M2_CI,M3,M3_CI,Δ M2-M0,Δ M3-M1,p (M2),p (M3),Multiple,Stratum
2698,43.46,"[39.32, 47.96]",35.16,"[32.37, 38.00]",38.4,"[35.72, 41.42]",32.38,"[29.92, 35.38]",11.64,7.91,0.0,0.0,ln(EV/Sales),Q1 lowest
2696,70.17,"[65.87, 74.71]",53.73,"[50.92, 55.90]",65.36,"[61.88, 68.97]",50.97,"[48.46, 54.10]",6.85,5.14,0.0002,0.0,ln(EV/Sales),Q2
2693,61.1,"[58.42, 63.66]",50.3,"[47.20, 53.08]",59.55,"[57.22, 63.03]",47.22,"[44.67, 49.73]",2.54,6.12,0.0,0.0,ln(EV/Sales),Q3
2696,55.02,"[51.91, 57.86]",48.65,"[46.46, 51.23]",54.88,"[51.81, 57.43]",46.81,"[44.33, 49.20]",0.25,3.78,0.0221,0.0017,ln(EV/Sales),Q4
2696,48.79,"[47.05, 50.27]",33.73,"[32.09, 35.57]",43.87,"[41.96, 46.20]",31.94,"[30.58, 33.63]",10.08,5.31,0.0,0.0002,ln(EV/Sales),Q5 highest
2698,89.15,"[86.74, 91.30]",72.0,"[68.75, 75.20]",79.73,"[77.04, 83.24]",70.49,"[67.15, 74.48]",10.57,2.1,0.0001,0.0,ln(EV/Assets),Q1 lowest
2696,70.76,"[67.70, 73.76]",56.93,"[52.19, 60.37]",68.14,"[64.48, 72.34]",55.29,"[51.78, 57.52]",3.7,2.88,0.2884,0.0001,ln(EV/Assets),Q2
2693,76.56,"[73.74, 79.58]",60.08,"[56.39, 63.04]",73.64,"[70.77, 76.30]",59.74,"[55.85, 62.47]",3.81,0.57,0.209,0.0002,ln(EV/Assets),Q3
2696,79.96,"[77.18, 83.66]",66.13,"[62.89, 69.55]",76.29,"[73.24, 79.19]",64.6,"[62.15, 67.47]",4.59,2.31,0.0157,0.0002,ln(EV/Assets),Q4
2696,88.46,"[85.52, 91.20]",85.6,"[82.49, 89.30]",83.96,"[81.01, 87.29]",81.43,"[78.61, 84.47]",5.09,4.87,0.8243,0.0,ln(EV/Assets),Q5 highest
2698,78.77,"[75.46, 81.81]",68.12,"[65.42, 71.84]",68.74,"[66.13, 71.93]",65.27,"[62.69, 68.54]",12.73,4.18,0.0,0.0,ln(MktCap/SEQ),Q1 lowest
2696,62.95,"[60.29, 66.19]",50.56,"[47.75, 53.49]",58.26,"[55.67, 60.99]",50.42,"[47.67, 52.86]",7.45,0.28,0.2006,0.0308,ln(MktCap/SEQ),Q2
2693,54.6,"[52.63, 57.20]",43.92,"[41.62, 46.53]",51.17,"[48.92, 53.82]",42.51,"[40.04, 44.22]",6.28,3.21,0.0915,0.1015,ln(MktCap/SEQ),Q3
2696,52.66,"[50.04, 55.15]",43.95,"[41.25, 45.68]",49.83,"[47.94, 51.91]",42.8,"[40.47, 45.34]",5.37,2.62,0.0033,0.4614,ln(MktCap/SEQ),Q4
2696,53.69,"[51.87, 55.85]",49.08,"[46.47, 51.56]",52.85,"[50.92, 55.24]",47.04,"[45.35, 49.35]",1.56,4.16,0.003,0.0001,ln(MktCap/SEQ),Q5 highest
