focal_tic,focal_fyear,rank,M1 peer,M2 peer,M3 peer,M1 ∈ M2,M3 ∈ M1∩M2
MSFT,2024,1,GOOGL,TEAM,GOOGL,✓,✓✓
MSFT,2024,2,META,FIVN,META,,✓1
MSFT,2024,3,CHE,EXTR,TEAM,,✓2
MSFT,2024,4,EOG,CRNC,CHE,,✓1
MSFT,2024,5,MANH,CRM,EOG,,✓1
MSFT,2024,6,MRK,PATH,FIVN,,✓2
MSFT,2024,7,ERIE,GOOGL,MANH,,✓1
MSFT,2024,8,AMAT,CXM,MRK,,✓1
MSFT,2024,9,MORN,VERI,ERIE,,✓1
MSFT,2024,10,ACN,AKAM,EXTR,,✓2
AAPL,2024,1,MA,LOGI,MA,,✓1
AAPL,2024,2,ADBE,BBY,ADBE,,✓1
AAPL,2024,3,CPAY,REZI,LOGI,,✓2
AAPL,2024,4,TDC,XRX,CPAY,,✓1
AAPL,2024,5,V,TXN,TDC,,✓1
AAPL,2024,6,IT,CALX,BBY,,✓2
AAPL,2024,7,ROL,RELL,V,,✓1
AAPL,2024,8,PG,DAKT,IT,,✓1
AAPL,2024,9,VRSK,CGNX,REZI,,✓2
AAPL,2024,10,TT,LUMN,ROL,,✓1
NVDA,2024,1,INOD,SYNA,INOD,,✓1
NVDA,2024,2,IDR,QCOM,IDR,,✓1
NVDA,2024,3,CALM,SNPS,SYNA,,✓2
NVDA,2024,4,META,SMCI,CALM,,✓1
NVDA,2024,5,GOOGL,LSCC,META,,✓1
NVDA,2024,6,DECK,U,QCOM,,✓2
NVDA,2024,7,MLI,QUIK,GOOGL,,✓1
NVDA,2024,8,BYRN,CEVA,DECK,,✓1
NVDA,2024,9,ADMA,DDD,MLI,,✓1
NVDA,2024,10,NSSC,MRCY,SNPS,,✓2
PFE,2024,1,IFF,LLY,IFF,,✓1
PFE,2024,2,MDT,TEVA,MDT,,✓1
PFE,2024,3,KVUE,GILD,LLY,,✓2
PFE,2024,4,AVNT,OPK,KVUE,,✓1
PFE,2024,5,TAP,VTRS,AVNT,,✓1
PFE,2024,6,TFX,BMY,TEVA,,✓2
PFE,2024,7,RRX,TECH,TAP,,✓1
PFE,2024,8,GPN,RGNX,TFX,,✓1
PFE,2024,9,FSK,AMPH,GILD,,✓2
PFE,2024,10,CHD,MGTX,RRX,,✓1
JNJ,2024,1,PG,ZBH,PG,,✓1
JNJ,2024,2,ETN,LLY,ETN,,✓1
JNJ,2024,3,MRK,TFX,ZBH,,✓2
JNJ,2024,4,TT,GMED,MRK,,✓1
JNJ,2024,5,ADBE,COO,TT,,✓1
JNJ,2024,6,KVUE,SMTI,LLY,,✓2
JNJ,2024,7,SYK,ITGR,ADBE,,✓1
JNJ,2024,8,TEL,SRDX,SYK,,✓1
JNJ,2024,9,EA,AVNS,KVUE,,✓1
JNJ,2024,10,HSY,CNMD,TFX,,✓2
GOOGL,2024,1,TER,MSFT,TER,,✓1
GOOGL,2024,2,MLI,META,MLI,,✓1
GOOGL,2024,3,LOPE,APP,MSFT,,✓2
GOOGL,2024,4,DECK,PUBM,LOPE,,✓1
GOOGL,2024,5,NYT,SEMR,DECK,,✓1
GOOGL,2024,6,GRMN,YELP,META,,✓2
GOOGL,2024,7,GGG,TEAD,NYT,,✓1
GOOGL,2024,8,MZTI,AMZN,GRMN,,✓1
GOOGL,2024,9,FAST,ADBE,APP,,✓2
GOOGL,2024,10,CRUS,NXDR,GGG,,✓1
