ff49_num,ff49_abbr,M0_FF49,M1_Financial,M2_Text,M3_Fusion,firm_years,delta_M1_M0,delta_M2_M0,delta_M3_M0,delta_M3_M1
45,Banks,0.3813703043982114,0.37833475417233553,0.4189316974308809,0.36535061541183345,1506,0.0030355502258758715,-0.03756139303266948,0.016019688986377956,0.012984138760502084
48,Fin,0.16704819874313281,0.15656643421971134,0.15048352293310613,0.1443571164083518,1416,0.010481764523421477,0.016564675810026686,0.02269108233478101,0.012209317811359532
13,Drugs,0.4696409551062553,0.30265301821839047,0.3687935718211627,0.2842351608125749,1119,0.16698793688786484,0.10084738328509263,0.18540579429368043,0.018417857405815585
36,Softw,0.3840020435774098,0.3817039198612693,0.4169545031594377,0.3694932490820323,1102,0.002298123716140521,-0.032952459582027915,0.014508794495377508,0.012210670779236987
34,BusSv,0.535850022434414,0.4441479357650858,0.5194504778430209,0.41272646199041496,600,0.09170208666932822,0.016399544591393145,0.12312356044399908,0.03142147377467086
37,Chips,0.5246931628008834,0.441167692198695,0.5575861237428832,0.4691486239167443,552,0.0835254706021884,-0.03289296094199978,0.05554453888413913,-0.027980931718049273
43,Rtail,0.8175527444281698,0.7978538359500025,0.9547587503936714,0.7922288849847807,544,0.019698908478167354,-0.1372060059655016,0.025323859443389107,0.005624950965221753
46,Insur,0.9945471440676522,0.9732092255860357,1.0397903474969552,0.9439615090583028,475,0.02133791848161648,-0.04524320342930299,0.05058563500934943,0.029247716527732948
12,MedEq,0.37427640354925906,0.35120436191000837,0.3691722372902275,0.3121752077908482,466,0.023072041639250696,0.0051041662590315395,0.06210119575841089,0.03902915411916019
21,Mach,0.5629004528095198,0.5334447199110613,0.6504415674324403,0.4672594003689543,412,0.029455732898458487,-0.08754111462292047,0.09564105244056553,0.06618531954210705
30,Oil,0.568375947595798,0.45127208976753597,0.5210139781549632,0.43033540197764947,394,0.11710385782826205,0.04736196944083482,0.13804054561814855,0.0209366877898865
42,Whlsl,0.8335798845793007,0.7510287231178903,1.0987243500823858,0.7132891872287218,361,0.0825511614614104,-0.2651444655030851,0.12029069735057885,0.03773953588916845
31,Util,0.19321277681257837,0.21037097763469853,0.20579189451105478,0.18194565334484372,357,-0.017158200822120162,-0.012579117698476416,0.011267123467734647,0.02842532428985481
41,Trans,0.8211844895968233,0.7937529553493585,0.8216888989167648,0.6661996203182414,306,0.027431534247464806,-0.0005044093199414457,0.1549848692785819,0.1275533350311171
14,Chems,0.6527074873013012,0.5358206277957736,0.6318300422582397,0.5034328089587098,289,0.11688685950552768,0.02087744504306155,0.14927467834259145,0.032387818837063764
11,Hlth,0.6288512076234404,0.586669742386194,0.6773185957580927,0.5033775436323282,226,0.04218146523724642,-0.048467388134652345,0.12547366399111215,0.08329219875386573
17,BldMt,0.6022400327434311,0.5592460996735605,0.7509836261512636,0.5327384321475183,217,0.04299393306987054,-0.1487435934078325,0.06950160059591282,0.026507667526042278
38,LabEq,0.3212991896720842,0.3325934246794556,0.3748433739962064,0.3048048342056826,216,-0.011294235007371367,-0.05354418432412217,0.0164943554664016,0.027788590473772967
22,ElcEq,0.6994326956969147,0.5462611870959575,0.6267411410883649,0.4539457021931568,203,0.15317150860095718,0.07269155460854981,0.2454869935037579,0.09231548490280073
32,Telcm,0.5141438117631224,0.5352586525223151,0.5145785644092626,0.45754460021320803,201,-0.021114840759192677,-0.0004347526461402351,0.056599211549914374,0.07771405230910705
18,Cnstr,1.0119414186476825,0.8672142673865901,1.0731751015904687,0.7774547997442927,198,0.14472715126109237,-0.061233682942786194,0.23448661890338984,0.08975946764229747
2,Food,0.5766311514344653,0.5038555398371226,0.6086457126803968,0.4792640844362448,186,0.0727756115973427,-0.032014561245931494,0.09736706699822051,0.024591455400877815
23,Autos,0.9597550237464955,0.8464008927437602,0.8996124432239927,0.6912082646863479,185,0.11335413100273528,0.060142580522502764,0.2685467590601476,0.1551926280574123
9,Hshld,0.8502170757473697,0.5732463206807713,0.8009319599791468,0.577878244556099,183,0.2769707550665984,0.04928511576822292,0.27233883119127067,-0.004631923875327737
44,Meals,0.5844280604020171,0.6131361507050885,0.6370142246344139,0.5685821687851724,171,-0.02870809030307142,-0.052586164232396815,0.015845891616844687,0.04455398191991611
49,Other,1.025516640571333,0.6438618198942381,0.8097495536542663,0.6396136345325151,168,0.3816548206770949,0.2157670869170667,0.3859030060388179,0.004248185361723
33,PerSv,0.5729415696054234,0.6166682666449452,0.7617736727144588,0.5486096637050939,156,-0.04372669703952181,-0.18883210310903542,0.02433190590032952,0.06805860293985133
47,RlEst,0.7686433223301006,0.6102889793705285,0.5457040529958375,0.5850721513289807,148,0.15835434295957207,0.2229392693342631,0.18357117100111986,0.02521682804154779
10,Clths,0.7526265403044848,0.9423686274884547,0.8997537236303915,0.8480484294875448,131,-0.1897420871839699,-0.14712718332590669,-0.09542188918305994,0.09432019800090996
7,Fun,0.37590118503627024,0.35269372193273074,0.38192681371956905,0.33453215430156025,128,0.023207463103539494,-0.0060256286832988115,0.04136903073470999,0.018161567631170494
19,Steel,0.9336758326402244,1.2859030977931676,1.2495351401022408,1.0661352428316149,117,-0.3522272651529432,-0.3158593074620164,-0.13245941019139051,0.2197678549615527
35,Hardw,0.7640672766408888,0.8121104841177033,0.881515794234132,0.7282155337255948,109,-0.048043207476814453,-0.11744851759324315,0.03585174291529403,0.08389495039210848
6,Toys,1.1571757003721148,0.7268305340186947,1.0187854832562904,0.6483117486182578,81,0.4303451663534201,0.13839021711582444,0.508863951753857,0.07851878540043689
39,Paper,1.0161528450027353,0.8446205165551848,0.8425447094551072,0.7526738011118398,73,0.1715323284475505,0.1736081355476281,0.2634790438908955,0.09194671544334498
24,Aero,0.6113669052841855,0.3634780952248997,0.6066988990790191,0.4525724760636297,63,0.24788881005928576,0.004668006205166386,0.15879442922055576,-0.08909438083873
28,Mines,0.5339701366810002,0.2628704491455679,0.7351581042263986,0.333950012836813,60,0.27109968753543234,-0.20118796754539836,0.20002012384418721,-0.07107956369124513
