Ticker,Company,Year,Industry,EV/Sales,ALE M0,ALE M1,ALE M2,ALE M3,MCap $m,Jacc
ATPC,AGAPE ATP CORP,2021,Wholesale,868.37x,6.97 (1067.0x),5.18 (177.7x),6.35 (572.7x),5.93 (374.5x),$2324m,0.053
EOSS,EOS INC,2021,Wholesale,868.37x,6.97 (1067.0x),4.94 (139.1x),6.52 (680.7x),5.72 (305.9x),$1260m,0.000
ACBM,ACRO BIOMEDICAL CO LTD,2020,Wholesale,201.68x,5.59 (267.0x),5.45 (231.8x),4.69 (108.7x),5.68 (291.9x),$139m,0.000
CATX,PERSPECTIVE THERAPEUTICS INC,2024,Pharmaceutical Products,1.78x,1.27 (3.6x),5.41 (224.7x),2.28 (9.8x),5.40 (222.5x),$225m,0.111
EOSS,EOS INC,2020,Wholesale,427.21x,6.34 (565.5x),4.85 (127.8x),5.20 (180.7x),5.10 (163.5x),$241m,0.000
SNTI,SENTI BIOSCIENCES INC,2022,Pharmaceutical Products,0.16x,3.82 (45.7x),5.73 (307.6x),3.61 (37.1x),5.10 (163.3x),$62m,0.000
VNJA,VANJIA CORP,2023,Construction,330.25x,5.82 (337.1x),4.68 (107.8x),5.74 (311.9x),5.06 (158.0x),$90m,0.000
SYBX,SYNLOGIC INC,2020,Pharmaceutical Products,8.88x,0.59 (1.8x),5.01 (150.5x),1.85 (6.3x),5.00 (148.0x),$82m,0.111
ATPC,AGAPE ATP CORP,2020,Wholesale,816.76x,6.99 (1081.1x),5.23 (186.8x),5.18 (177.0x),4.99 (147.6x),$2823m,0.000
BCRD,BLUEONE CARD INC,2021,Business Services,868.37x,5.43 (228.5x),5.17 (175.8x),5.31 (201.7x),4.95 (141.5x),$85m,0.053
